Temperature  ,Humidity   ,Barometric Pressure   ,Timestamp   
80.60,54.00,101218,2020-05-16 15:57:36

78.80,53.00,101204,2020-05-16 15:57:42

78.80,53.00,101202,2020-05-16 15:57:49

78.80,53.00,101217,2020-05-16 15:57:55

78.80,53.00,101215,2020-05-16 15:58:01

78.80,53.00,101213,2020-05-16 15:58:07

78.80,53.00,101201,2020-05-16 15:58:13

78.80,53.00,101207,2020-05-16 15:58:19

78.80,53.00,101204,2020-05-16 15:58:25

78.80,53.00,101199,2020-05-16 15:58:32

78.80,53.00,101194,2020-05-16 15:58:38

78.80,53.00,101210,2020-05-16 15:58:44

78.80,53.00,101201,2020-05-16 15:58:50

78.80,53.00,101208,2020-05-16 15:58:56

78.80,53.00,101215,2020-05-16 15:59:02

78.80,53.00,101217,2020-05-16 15:59:08

78.80,53.00,101202,2020-05-16 15:59:15

78.80,53.00,101194,2020-05-16 15:59:21

78.80,53.00,101201,2020-05-16 15:59:27

78.80,53.00,101211,2020-05-16 15:59:35

78.80,53.00,101201,2020-05-16 15:59:42

78.80,53.00,101194,2020-05-16 15:59:48

78.80,53.00,101196,2020-05-16 15:59:54

78.80,53.00,101204,2020-05-16 16:00:00

78.80,53.00,101204,2020-05-16 16:00:06

78.80,53.00,101208,2020-05-16 16:00:12

